"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"26577","Centaurea nigra L. s. l.","Schwarze Flockenblume","Centaurea nigra","L. s. l.","plant"
"1370","Centaurea nigra subsp. nemoralis (Jord.) Gremli","Hain-Flockenblume","Centaurea nigra subsp. nemoralis","(Jord.) Gremli","plant"
"1371","Centaurea nigra subsp. nigra L.","Gewoehnliche Schwarze Flockenblume","Centaurea nigra subsp. nigra","L.","plant"
"1372","Centaurea nigrescens Willd.","Schwaerzliche Flockenblume","Centaurea nigrescens","Willd.","plant"
"1384","Centaurea phrygia L. s. str.","Phrygische Flockenblume","Centaurea phrygia","L. s. str.","plant"
"1385","Centaurea pseudophrygia C. A. Mey.","Peruecken-Flockenblume","Centaurea pseudophrygia","C. A. Mey.","plant"
"1390","Centaurea scabiosa L. s. l.","Skabiosen-Flockenblume","Centaurea scabiosa","L. s. l.","plant"
"1391","Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman","Alpen-Skabiosenflockenblume","Centaurea scabiosa subsp. alpestris","(Hegetschw.) Nyman","plant"
"1397","Centaurea scabiosa subsp. scabiosa L.","Gewoehnliche Skabiosen-Flockenblume","Centaurea scabiosa subsp. scabiosa","L.","plant"
"1386","Centaurea stenolepis Kern.","Schmalschuppige Flockenblume","Centaurea stenolepis","Kern.","plant"
"25004","Centaurea stoebe L. s. l.","Rispen-Flockenblume","Centaurea stoebe","L. s. l.","plant"
"1402","Centaurea triumfettii All.","Filz-Flockenblume","Centaurea triumfettii","All.","plant"
"7139","Centaurea triumfettii subsp. aligera (Gugler) Dostál","Bunte Berg-Flockenblume","Centaurea triumfettii subsp. aligera","(Gugler) Dostál","plant"
"1406","Centaurium erythraea Rafn","Echtes Tausendgueldenkraut","Centaurium erythraea","Rafn","plant"
"1409","Centaurium littorale (Turner) Gilm.","Strand-Tausendgueldenkraut","Centaurium littorale","(Turner) Gilm.","plant"
"1413","Centaurium pulchellum (Sw.) Druce","Kleines Tausendgueldenkraut","Centaurium pulchellum","(Sw.) Druce","plant"
"1419","Cephalanthera damasonium (Mill.) Druce","Weisses Waldvoegelein","Cephalanthera damasonium","(Mill.) Druce","plant"
"1420","Cephalanthera longifolia (L.) Fritsch","Schwertblaettriges Waldvoegelein","Cephalanthera longifolia","(L.) Fritsch","plant"
"1421","Cephalanthera rubra (L.) Rich.","Rotes Waldvoegelein","Cephalanthera rubra","(L.) Rich.","plant"
"50313","Cephalozia bicuspidata (L.) Dumort.","","","","moss"
"50314","Cephalozia bicuspidata (L.) Dumort. ssp. bicuspidata","","","","moss"
"50315","Cephalozia bicuspidata ssp. lammersiana (Huebener) R.M. Schust.","","","","moss"
"50316","Cephalozia catenulata (Huebener) Lindb.","","","","moss"
"50317","Cephalozia connivens (Dicks.) Lindb.","","","","moss"
"50318","Cephalozia loitlesbergeri Schiffn.","","","","moss"
"50319","Cephalozia lunulifolia (Dumort.) Dumort.","","","","moss"
"50320","Cephalozia macrostachya Kaal.","","","","moss"
"50321","Cephaloziella divaricata (Sm.) Schiffn.","Kleinsprossmoos","","","moss"
"50322","Cephaloziella divaricata (Sm.) Schiffn. var. divaricata","","","","moss"
"50323","Cephaloziella elachista (Gottsche & Rabenh.) Schiffn.","","","","moss"
"50324","Cephaloziella elegans (Heeg) Schiffn.","","","","moss"
"50325","Cephaloziella hampeana (Nees) Schiffn.","","","","moss"
"50326","Cephaloziella rubella (Nees) Warnst.","","","","moss"
"50327","Cephaloziella rubella (Nees) Warnst. var. rubella","","","","moss"
"50328","Cephaloziella rubella var. sullivantii (Austin) Muell.Frib.","","","","moss"
"50329","Cephaloziella stellulifera (Gottsche & al.) Schiffn.","","","","moss"
"1426","Cerastium alpinum L.","Alpen-Hornkraut","Cerastium alpinum","L.","plant"
"1427","Cerastium alpinum subsp. alpinum L.","Gewoehnliches Alpen-Hornkraut","Cerastium alpinum subsp. alpinum","L.","plant"
"1428","Cerastium alpinum subsp. lanatum (Lam.) Asch. & Graebn.","Wolliges Alpen-Hornkraut","Cerastium alpinum subsp. lanatum","(Lam.) Asch. & Graebn.","plant"
"1431","Cerastium arvense L.","Acker-Hornkraut","Cerastium arvense","L.","plant"
"1432","Cerastium arvense subsp. arvense L.","Gewoehnliches Acker-Hornkraut","Cerastium arvense subsp. arvense","L.","plant"
"1435","Cerastium arvense subsp. strictum (Koch) Schinz & R. Keller","Steifes Acker-Hornkraut","Cerastium arvense subsp. strictum","(Koch) Schinz & R. Keller","plant"
"1438","Cerastium brachypetalum Desp. ex Pers. s. str.","Baertiges Hornkraut","Cerastium brachypetalum","Desp. ex Pers. s. str.","plant"
"1443","Cerastium cerastoides (L.) Britton","Dreigriffeliges Hornkraut","Cerastium cerastoides","(L.) Britton","plant"
"1446","Cerastium diffusum Pers. s. str.","Viermaenniges Hornkraut","Cerastium diffusum","Pers. s. str.","plant"
"1448","Cerastium dubium (Bastard) Guépin","Klebriges Hornkraut","Cerastium dubium","(Bastard) Guépin","plant"
"1450","Cerastium fontanum Baumg. s. str.","Quellen-Hornkraut","Cerastium fontanum","Baumg. s. str.","plant"
"1453","Cerastium glomeratum Thuill.","Knaeuel-Hornkraut","Cerastium glomeratum","Thuill.","plant"
"1461","Cerastium glutinosum Fr.","Bleiches Hornkraut","Cerastium glutinosum","Fr.","plant"
"1451","Cerastium holosteoides Fr.","Gewoehnliches Hornkraut","Cerastium holosteoides","Fr.","plant"
"1456","Cerastium latifolium L.","Breitblaettriges Hornkraut","Cerastium latifolium","L.","plant"
"21194","Cerastium lucorum (Schur) Moeschl","Grossfruechtiges Hornkraut","Cerastium lucorum","(Schur) Moeschl","plant"
"1462","Cerastium pumilum Curtis s. str.","Dunkles Hornkraut","Cerastium pumilum","Curtis s. str.","plant"
"1463","Cerastium semidecandrum L.","Sand-Hornkraut","Cerastium semidecandrum","L.","plant"
"1465","Cerastium uniflorum Clairv.","Einbluetiges Hornkraut","Cerastium uniflorum","Clairv.","plant"
"21221","Ceratocapnos claviculata (L.) Lidén","Rankender Lerchensporn","Ceratocapnos claviculata","(L.) Lidén","plant"
"1466","Ceratocephala falcata (L.) Pers.","Sichelfruechtiges Hornkoepfchen","Ceratocephala falcata","(L.) Pers.","plant"
"50330","Ceratodon purpureus (Hedw.) Brid.","Hornzahnmoos","","","moss"
"50331","Ceratodon purpureus (Hedw.) Brid. ssp. purpureus","","","","moss"
"1468","Ceratophyllum demersum L.","Raues Hornblatt","Ceratophyllum demersum","L.","plant"
"1469","Ceratophyllum demersum subsp. demersum L.","Gewoehnliches Raues Hornblatt","Ceratophyllum demersum subsp. demersum","L.","plant"
"1470","Ceratophyllum demersum subsp. platyacanthum (Cham.) Nyman","Breitstachliges Raues Hornblatt","Ceratophyllum demersum subsp. platyacanthum","(Cham.) Nyman","plant"
"1471","Ceratophyllum submersum L.","Zartes Hornblatt","Ceratophyllum submersum","L.","plant"
"1473","Cerinthe glabra Mill.","Alpen-Wachsblume","Cerinthe glabra","Mill.","plant"
"1477","Cerinthe minor L.","Kleine Wachsblume","Cerinthe minor","L.","plant"
"1485","Chaenorhinum minus (L.) Lange","Kleines Leinkraut","Chaenorhinum minus","(L.) Lange","plant"
"1486","Chaerophyllum aromaticum L.","Aromatischer Kaelberkropf","Chaerophyllum aromaticum","L.","plant"
"1487","Chaerophyllum aureum L.","Gold-Kaelberkropf","Chaerophyllum aureum","L.","plant"
"1488","Chaerophyllum bulbosum L.","Knolliger Kaelberkropf","Chaerophyllum bulbosum","L.","plant"
"26948","Chaerophyllum hirsutum subsp. hirsutum L.","Gewoehnlicher Rauhaariger Kaelberkropf","Chaerophyllum hirsutum subsp. hirsutum","L.","plant"
"21231","Chaerophyllum hirsutum subsp. villarsii (W. D. J. Koch) Briq.","Alpen-Kaelberkropf","Chaerophyllum hirsutum subsp. villarsii","(W. D. J. Koch) Briq.","plant"
"1494","Chaerophyllum temulum L.","Hecken-Kaelberkropf","Chaerophyllum temulum","L.","plant"
"1504","Chamaecytisus ratisbonensis (Schaeff.) Rothm.","Regensburger Geissklee","Chamaecytisus ratisbonensis","(Schaeff.) Rothm.","plant"
"1506","Chamaecytisus supinus (L.) Link","Kopf-Geissklee","Chamaecytisus supinus","(L.) Link","plant"
"1509","Chamaespartium sagittale (L.) Gibbs","Fluegelginster","Chamaespartium sagittale","(L.) Gibbs","plant"
"1510","Chamorchis alpina (L.) Rich.","Zwergorchis","Chamorchis alpina","(L.) Rich.","plant"
"1513","Chelidonium majus L.","Schoellkraut","Chelidonium majus","L.","plant"
"1515","Chenopodium album L.","Weisser Gaensefuss","Chenopodium album","L.","plant"
"1521","Chenopodium bonus-henricus L.","Guter Heinrich","Chenopodium bonus-henricus","L.","plant"
"1532","Chenopodium botryodes Sm.","Dickblaettriger Gaensefuss","Chenopodium botryodes","Sm.","plant"
"1522","Chenopodium botrys L.","Klebriger Gaensefuss","Chenopodium botrys","L.","plant"
"1524","Chenopodium ficifolium Sm.","Feigenblaettriger Gaensefuss","Chenopodium ficifolium","Sm.","plant"
"1526","Chenopodium glaucum L.","Graugruener Gaensefuss","Chenopodium glaucum","L.","plant"
"1527","Chenopodium hybridum L.","Bastard-Gaensefuss","Chenopodium hybridum","L.","plant"
"1528","Chenopodium murale L.","Mauer-Gaensefuss","Chenopodium murale","L.","plant"
"1516","Chenopodium opulifolium Schrad. ex W. D. J. Koch & Ziz","Schneeballblaettriger Gaensefuss","Chenopodium opulifolium","Schrad. ex W. D. J. Koch & Ziz","plant"
"1529","Chenopodium polyspermum L.","Vielsamiger Gaensefuss","Chenopodium polyspermum","L.","plant"
"1530","Chenopodium pumilio R. Br.","Australischer Gaensefuss","Chenopodium pumilio","R. Br.","plant"
"1533","Chenopodium rubrum L.","Roter Gaensefuss","Chenopodium rubrum","L.","plant"
"1517","Chenopodium strictum Roth","Gestreifter Gaensefuss","Chenopodium strictum","Roth","plant"
"6482","Chenopodium strictum subsp. striatiforme (Murr) Uotila","Kritischer Gestreifter Gaensefuss","Chenopodium strictum subsp. striatiforme","(Murr) Uotila","plant"
"6481","Chenopodium strictum subsp. strictum Roth","Gewoehnlicher Gestreifter Gaensefuss","Chenopodium strictum subsp. strictum","Roth","plant"
"1518","Chenopodium suecicum Murr","Schwedischer Gaensefuss","Chenopodium suecicum","Murr","plant"
"1535","Chenopodium urbicum L.","Strassen-Gaensefuss","Chenopodium urbicum","L.","plant"
"1536","Chenopodium vulvaria L.","Stinkender Gaensefuss","Chenopodium vulvaria","L.","plant"
"50332","Chiloscyphus polyanthos (L.) Corda","","","","moss"
"50333","Chiloscyphus polyanthos (L.) Corda var. polyanthos","","","","moss"
"50334","Chiloscyphus polyanthos var. pallescens (Hoffm.) Hartm.","","","","moss"
"1537","Chimaphila umbellata (L.) Barton","Dolden-Winterlieb","Chimaphila umbellata","(L.) Barton","plant"
"1538","Chondrilla chondrilloides (Ard.) H. Karst.","Alpen-Knorpellattich","Chondrilla chondrilloides","(Ard.) H. Karst.","plant"
"1539","Chondrilla juncea L.","Grosser Knorpellattich","Chondrilla juncea","L.","plant"
"1542","Chrysanthemum segetum L.","Saat-Wucherblume","Chrysanthemum segetum","L.","plant"
"1544","Chrysosplenium alternifolium L.","Wechselblaettriges Milzkraut","Chrysosplenium alternifolium","L.","plant"
"1545","Chrysosplenium oppositifolium L.","Gegenblaettriges Milzkraut","Chrysosplenium oppositifolium","L.","plant"
"1546","Cicendia filiformis (L.) Delarbre","Fadenenzian","Cicendia filiformis","(L.) Delarbre","plant"
"1547","Cicerbita alpina (L.) Wallr.","Alpen-Milchlattich","Cicerbita alpina","(L.) Wallr.","plant"
"1548","Cicerbita macrophylla (Willd.) Wallr.","Grossblaettriger Milchlattich","Cicerbita macrophylla","(Willd.) Wallr.","plant"
"7319","Cicerbita macrophylla subsp. uraliensis (Rouy) P. D. Sell","Grossblaettriger Milchlattich","Cicerbita macrophylla subsp. uraliensis","(Rouy) P. D. Sell","plant"
"1549","Cicerbita plumieri (L.) Kirschl.","Franzoesischer Milchlattich","Cicerbita plumieri","(L.) Kirschl.","plant"
"1550","Cichorium intybus L.","Gewoehnliche Wegwarte","Cichorium intybus","L.","plant"
"1551","Cicuta virosa L.","Wasserschierling","Cicuta virosa","L.","plant"
"50335","Cinclidium stygium Sw.","Kuppelmoos","","","moss"
"50336","Cinclidotus aquaticus (Hedw.) Bruch & Schimp.","Einseitswendiges Gitterzahnmoos","","","moss"
"50337","Cinclidotus danubicus Schiffn. & Baumgartner","","","","moss"
"50338","Cinclidotus fontinaloides (Hedw.) P. Beauv.","","","","moss"
"50339","Cinclidotus mucronatus (Brid.) Guim.","","","","moss"
"50340","Cinclidotus riparius (Brid.) Arn.","Schwarzes Gitterzahnmoos","","","moss"
"1553","Circaea alpina L.","Alpen-Hexenkraut","Circaea alpina","L.","plant"
"1555","Circaea lutetiana L.","Gewoehnliches Hexenkraut","Circaea lutetiana","L.","plant"
"1554","Circaea x intermedia Ehrh.","Mittleres Hexenkraut","Circaea x intermedia","Ehrh.","plant"
"50341","Cirriphyllum piliferum (Hedw.) Grout","Haartragendes Spitzblattmoos","","","moss"
"50342","Cirriphyllum tommasinii (Boulay) Grout","","","","moss"
"1556","Cirsium acaule Scop.","Staengellose Kratzdistel","Cirsium acaule","Scop.","plant"
"1557","Cirsium arvense (L.) Scop.","Acker-Kratzdistel","Cirsium arvense","(L.) Scop.","plant"
"1559","Cirsium canum (L.) All.","Graue Kratzdistel","Cirsium canum","(L.) All.","plant"
"1562","Cirsium dissectum (L.) Hill","Englische Kratzdistel","Cirsium dissectum","(L.) Hill","plant"
"1563","Cirsium eriophorum (L.) Scop.","Wollkoepfige Kratzdistel","Cirsium eriophorum","(L.) Scop.","plant"
"1569","Cirsium heterophyllum (L.) Hill","Verschiedenblaettrige Kratzdistel","Cirsium heterophyllum","(L.) Hill","plant"
"1573","Cirsium oleraceum (L.) Scop.","Kohl-Kratzdistel","Cirsium oleraceum","(L.) Scop.","plant"
"1574","Cirsium palustre (L.) Scop.","Sumpf-Kratzdistel","Cirsium palustre","(L.) Scop.","plant"
"1576","Cirsium rivulare (Jacq.) All.","Bach-Kratzdistel","Cirsium rivulare","(Jacq.) All.","plant"
"1577","Cirsium spinosissimum (L.) Scop.","Alpen-Kratzdistel","Cirsium spinosissimum","(L.) Scop.","plant"
