plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Agrostis stolonifera var. stolonifera;L.;plant;Agrostis stolonifera var. stolonifera L.;Gewöhnliches Weißes Straußgras
Agrostis vinealis;Schreb.;plant;Agrostis vinealis Schreb.;Sand-Straußgras
Agrostis;;plant;Agrostis sp.;Straußgras
Ailanthus altissima;(Mill.) Swingle;plant;Ailanthus altissima (Mill.) Swingle;Götterbaum
Aira caryophyllea;L.;plant;Aira caryophyllea L. s. l.;Nelken-Haferschmiele
Aira praecox;L.;plant;Aira praecox L.;Frühe Haferschmiele
Aira;;plant;Aira sp.;Haferschmiele
Ajuga chamaepitys;(L.) Schreb.;plant;Ajuga chamaepitys (L.) Schreb.;Gelber Günsel
Ajuga genevensis;L.;plant;Ajuga genevensis L.;Genfer Günsel
Ajuga pyramidalis;L.;plant;Ajuga pyramidalis L.;Pyramiden-Günsel
Ajuga reptans;L.;plant;Ajuga reptans L.;Kriechender Günsel
Ajuga;;plant;Ajuga sp.;Günsel
Alchemilla alpigena;Buser;plant;Alchemilla alpigena Buser;Kalkalpen-Frauenmantel
Alchemilla alpina;L.;plant;Alchemilla alpina L.;Alpen-Frauenmantel
Alchemilla cleistophylla;Rothm. & O. Schwarz;plant;Alchemilla cleistophylla Rothm. & O. Schwarz;Allgäu-Frauenmantel
Alchemilla colorata;Buser;plant;Alchemilla colorata Buser;Geröteter Frauenmantel
Alchemilla conjuncta agg.;;plant;Alchemilla conjuncta agg. ;Verbundener Frauenmantel
Alchemilla connivens;Buser;plant;Alchemilla connivens Buser;Zusammenneigender Frauenmantel
Alchemilla coriacea;Buser;plant;Alchemilla coriacea Buser;Ledriger Frauenmantel
Alchemilla crinita;Buser;plant;Alchemilla crinita Buser;Langhaariger Frauenmantel
Alchemilla cuspidens;Buser;plant;Alchemilla cuspidens Buser;Scharfzähniger Frauenmantel
Alchemilla cymatophylla;Juz.;plant;Alchemilla cymatophylla Juz.;Wellenblättriger Frauenmantel
Alchemilla decumbens;Buser;plant;Alchemilla decumbens Buser;Niederliegender Frauenmantel
Alchemilla effusa;Buser;plant;Alchemilla effusa Buser;Ausgebreiteter Frauenmantel
