plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Cuscuta campestris;Yunck.;plant;Cuscuta campestris Yunck.;Nordamerikanische Seide
Cuscuta epilinum;Weihe;plant;Cuscuta epilinum Weihe;Flachs-Seide
Cuscuta epilinum;Weihe;plant;Cuscuta epilinum Weihe;Flachsseide
Cuscuta epithymum;(L.) L.;plant;Cuscuta epithymum (L.) L.;Quendel-Seide
Cuscuta epithymum;(L.) L.;plant;Cuscuta epithymum (L.) L.;Quendelseide
Cuscuta europaea;L.;plant;Cuscuta europaea L.;Nessel-Seide
Cuscuta gronovii;Willd. ex Roem. & Schult.;plant;Cuscuta gronovii Willd. ex Roem. & Schult.;Gronovius Seide
Cuscuta lupuliformis;Krock.;plant;Cuscuta lupuliformis Krock.;Pappel-Seide
Cuscuta scandens;Brot.;plant;Cuscuta scandens Brot.;Südliche Seide
Cuscuta scandens subsp. cesatiana;(Bertol.) Greuter & Burdet;plant;Cuscuta scandens subsp. cesatiana (Bertol.) Greuter & Burdet;Knöterich-Seide
Cuscuta;;plant;Cuscuta sp.;Seide
Cyclamen purpurascens;Mill.;plant;Cyclamen purpurascens Mill.;Wildes Alpenveilchen
Cyclamen;;plant;Cyclamen sp.;Alpenveilchen
Cymbalaria muralis;P. Gaertn., B. Mey. & Scherb.;plant;Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.;Zymbelkraut
Cymbalaria muralis;P. Gaertn., B. Mey. & Scherb.;plant;Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.;Mauer-Zymbelkraut
Cynodon dactylon;(L.) Pers.;plant;Cynodon dactylon (L.) Pers.;Hundszahngras
Cynoglossum germanicum;Jacq.;plant;Cynoglossum germanicum Jacq.;Deutsche Hundszunge
Cynoglossum officinale;L.;plant;Cynoglossum officinale L.;Gewöhnliche Hundszunge
Cynoglossum;;plant;Cynoglossum sp.;Hundszunge
Cynosurus cristatus;L.;plant;Cynosurus cristatus L.;Wiesen-Kammgras
Cynosurus cristatus;L.;plant;Cynosurus cristatus L.;Kammgras
Cyperus esculentus;L.;plant;Cyperus esculentus L.;Erdmandel
Cyperus flavescens;L.;plant;Cyperus flavescens L.;Gelbliches Zypergras
Cyperus fuscus;L.;plant;Cyperus fuscus L.;Braunes Zypergras
Cyperus longus;L. s. l.;plant;Cyperus longus L. s. l.;Hohes Zypergras
Cyperus longus subsp. badius;(Desf.) Murb.;plant;Cyperus longus subsp. badius (Desf.) Murb.;Kastanienbraunes Zypergras
Cyperus longus subsp. longus;L.;plant;Cyperus longus subsp. longus L.;Hohes Zypergras i. e. S.
Cyperus michelianus;(L.) Link;plant;Cyperus michelianus (L.) Link;Zwerg-Zypergras
Cyperus;;plant;Cyperus sp.;Zypergras
Cypripedium calceolus;L.;plant;Cypripedium calceolus L.;Frauenschuh
Cystopteris alpina;(Lam.) Desv.;plant;Cystopteris alpina (Lam.) Desv.;Alpen-Blasenfarn
Cystopteris dickieana;R. Sim;plant;Cystopteris dickieana R. Sim;Runzelsporiger Blasenfarn
Cystopteris fragilis;(L.) Bernh. s. str.;plant;Cystopteris fragilis (L.) Bernh. s. str.;Zerbrechlicher Blasenfarn
Cystopteris montana;(Lam.) Desv.;plant;Cystopteris montana (Lam.) Desv.;Berg-Blasenfarn
Cystopteris sudetica;A. Braun ex Milde;plant;Cystopteris sudetica A. Braun ex Milde;Sudeten-Blasenfarn
Cystopteris;;plant;Cystopteris sp.;Blasenfarn
Cytisus nigricans;L.;plant;Cytisus nigricans L.;Schwarzwerdender Geißklee
Cytisus scoparius;(L.) Link;plant;Cytisus scoparius (L.) Link;Besenginster
Cytisus striatus;(Hill) Rothm.;plant;Cytisus striatus (Hill) Rothm.;Gestreifter Ginster
Dactylis glomerata agg.;;plant;Dactylis glomerata agg. ;Knäuelgras
Dactylis glomerata;L. s. str.;plant;Dactylis glomerata L. s. str.;Wiesen-Knäuelgras
Dactylis glomerata;L. s. str.;plant;Dactylis glomerata L. s. str.;Wiesenknäuelgras
Dactylis polygama;Horv.;plant;Dactylis polygama Horv.;Wald-Knäuelgras
Dactylis polygama;Horv.;plant;Dactylis polygama Horv.;Waldknäuelgras
Dactylorhiza cruenta;(O. F. Müller) Soó;plant;Dactylorhiza cruenta (O. F. Müller) Soó;Blutrotes Knabenkraut
Dactylorhiza curvifolia;(Nyl.) Czerep.;plant;Dactylorhiza curvifolia (Nyl.) Czerep.;Ostsee-Knabenkraut
Dactylorhiza incarnata;(L.) Soó;plant;Dactylorhiza incarnata (L.) Soó;Fleischfarbenes Knabenkraut
Dactylorhiza incarnata subsp. ochroleuca;(Boll) P. F. Hunt & Summerh.;plant;Dactylorhiza incarnata subsp. ochroleuca (Boll) P. F. Hunt & Summerh.;Bleichgelbes Knabenkraut
Dactylorhiza lapponica;(Hartm.) Soó;plant;Dactylorhiza lapponica (Hartm.) Soó;Lappländisches Knabenkraut
Dactylorhiza maculata agg.;;plant;Dactylorhiza maculata agg. ;Geflecktes Knabenkraut
Dactylorhiza majalis;(Rchb.) Hunt & Summerh. s. str.;plant;Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.;Breitblättriges Knabenkraut
Dactylorhiza praetermissa;(Druce) Soó;plant;Dactylorhiza praetermissa (Druce) Soó;Übersehenes Knabenkraut
Dactylorhiza sambucina;(L.) Soó;plant;Dactylorhiza sambucina (L.) Soó;Holunder-Knabenkraut
Dactylorhiza sphagnicola;(Höppner) Soó;plant;Dactylorhiza sphagnicola (Höppner) Soó;Torfmoos-Knabenkraut
Dactylorhiza traunsteineri;(Saut. ex Rchb.) Soó s. str.;plant;Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó s. str.;Traunsteiners Knabenkraut
Orchidaceae;;plant;Orchidaceae;Knabenkraut
Danthonia alpina;Vest;plant;Danthonia alpina Vest;Kelch-Traubenhafer
Danthonia;;plant;Danthonia sp.;Traubenhafer
Danthonia decumbens;(L.) DC.;plant;Danthonia decumbens (L.) DC.;Dreizahn
Daphne cneorum;L.;plant;Daphne cneorum L.;Rosmarin-Seidelbast
Daphne laureola;L.;plant;Daphne laureola L.;Lorbeer-Seidelbast
Daphne mezereum;L.;plant;Daphne mezereum L.;Gewöhnlicher Seidelbast
Daphne striata;Tratt.;plant;Daphne striata Tratt.;Gestreifter Seidelbast
Daphne;;plant;Daphne sp.;Seidelbast
Datura stramonium;L.;plant;Datura stramonium L.;Weißer Stechapfel
Datura;;plant;Datura sp.;Stechapfel
Daucus carota;L.;plant;Daucus carota L.;Wilde Möhre
Daucus carota;L.;plant;Daucus carota L.;Möhre
Deschampsia cespitosa;(L.) P. Beauv. s. str.;plant;Deschampsia cespitosa (L.) P. Beauv. s. str.;Rasen-Schmiele
Deschampsia cespitosa;(L.) P. Beauv. s. str.;plant;Deschampsia cespitosa (L.) P. Beauv. s. str.;Rasenschmiele
Deschampsia flexuosa;(L.) Trin.;plant;Deschampsia flexuosa (L.) Trin.;Draht-Schmiele
Deschampsia flexuosa;(L.) Trin.;plant;Deschampsia flexuosa (L.) Trin.;Drahtschmiele
Deschampsia littoralis;(Gaudin) Reuter;plant;Deschampsia littoralis (Gaudin) Reuter;Bodensee-Rasenschmiele
Deschampsia media;(Gouan) Roem. & Schult.;plant;Deschampsia media (Gouan) Roem. & Schult.;Binsen-Schmiele
Deschampsia setacea;(Huds.) Hack.;plant;Deschampsia setacea (Huds.) Hack.;Moor-Schmiele
Deschampsia wibeliana;(Sond.) Parl.;plant;Deschampsia wibeliana (Sond.) Parl.;Elbe-Rasenschmiele
Deschampsia;;plant;Deschampsia sp.;Schmiele
Descurainia sophia;(L.) Prantl;plant;Descurainia sophia (L.) Prantl;Besenrauke
Dianthus arenarius;L.;plant;Dianthus arenarius L.;Sand-Nelke
Dianthus arenarius;L.;plant;Dianthus arenarius L.;Sandnelke
Dianthus arenarius subsp. borussicus;Vierh.;plant;Dianthus arenarius subsp. borussicus Vierh.;Sand-Nelke
Dianthus armeria;L.;plant;Dianthus armeria L.;Büschel-Nelke
Dianthus armeria;L.;plant;Dianthus armeria L.;Büschelnelke
Dianthus carthusianorum;L.;plant;Dianthus carthusianorum L.;Karthäuser-Nelke
Dianthus carthusianorum;L.;plant;Dianthus carthusianorum L.;Karthäusernelke
Dianthus deltoides;L.;plant;Dianthus deltoides L.;Heide-Nelke
Dianthus deltoides;L.;plant;Dianthus deltoides L.;Heidenelke
Dianthus gratianopolitanus;Vill.;plant;Dianthus gratianopolitanus Vill.;Pfingst-Nelke
Dianthus gratianopolitanus;Vill.;plant;Dianthus gratianopolitanus Vill.;Pfingstnelke
Dianthus seguieri;Vill.;plant;Dianthus seguieri Vill.;Busch-Nelke
Dianthus seguieri subsp. glaber;Celak.;plant;Dianthus seguieri subsp. glaber Celak.;Busch-Nelke
Dianthus superbus;L.;plant;Dianthus superbus L.;Pracht-Nelke
Dianthus superbus;L.;plant;Dianthus superbus L.;Prachtnelke
Dianthus superbus subsp. alpestris;Celak.;plant;Dianthus superbus subsp. alpestris Celak.;Alpen-Prachtnelke
Dianthus superbus subsp. superbus;L.;plant;Dianthus superbus subsp. superbus L.;Gewöhnliche Pracht-Nelke
Dianthus sylvestris;Wulfen;plant;Dianthus sylvestris Wulfen;Stein-Nelke
Dianthus sylvestris;Wulfen;plant;Dianthus sylvestris Wulfen;Steinnelke
Dianthus;;plant;Dianthus sp.;Nelke
Dictamnus albus;L.;plant;Dictamnus albus L.;Diptam
Digitalis grandiflora;Mill.;plant;Digitalis grandiflora Mill.;Großblütiger Fingerhut
Digitalis lutea;L.;plant;Digitalis lutea L.;Gelber Fingerhut
Digitalis purpurea;L.;plant;Digitalis purpurea L.;Roter Fingerhut
Digitalis;;plant;Digitalis sp.;Fingerhut
Digitaria ischaemum;(Schreb. ex Schweigg.) Schreb. ex Mühl.;plant;Digitaria ischaemum (Schreb. ex Schweigg.) Schreb. ex Mühl.;Faden-Fingerhirse
Digitaria sanguinalis;(L.) Scop.;plant;Digitaria sanguinalis (L.) Scop.;Blutrote Fingerhirse
Digitaria;;plant;Digitaria sp.;Fingerhirse
Diphasiastrum alpinum;(L.) Holub;plant;Diphasiastrum alpinum (L.) Holub;Alpen-Flachbärlapp
Diphasiastrum complanatum;(L.) Holub;plant;Diphasiastrum complanatum (L.) Holub;Gewöhnlicher Flachbärlapp
Diphasiastrum issleri;(Rouy) Holub;plant;Diphasiastrum issleri (Rouy) Holub;Isslers Flachbärlapp
Diphasiastrum tristachyum;(Pursh) Holub;plant;Diphasiastrum tristachyum (Pursh) Holub;Zypressen-Flachbärlapp
Diphasiastrum zeilleri;(Rouy) Holub;plant;Diphasiastrum zeilleri (Rouy) Holub;Zeillers Flachbärlapp
Diplotaxis muralis;(L.) DC.;plant;Diplotaxis muralis (L.) DC.;Mauer-Doppelsame
Diplotaxis tenuifolia;(L.) DC.;plant;Diplotaxis tenuifolia (L.) DC.;Schmalblättriger Doppelsame
Diplotaxis viminea;(L.) DC.;plant;Diplotaxis viminea (L.) DC.;Ruten-Doppelsame
Diplotaxis;;plant;Diplotaxis sp.;Doppelsame
Dipsacus fullonum;L.;plant;Dipsacus fullonum L.;Wilde Karde
Dipsacus laciniatus;L.;plant;Dipsacus laciniatus L.;Schlitzblättrige Karde
Dipsacus pilosus;L.;plant;Dipsacus pilosus L.;Behaarte Karde
Dipsacus strigosus;Willd. ex Roem. & Schult.;plant;Dipsacus strigosus Willd. ex Roem. & Schult.;Schlanke Karde
Dipsacus;;plant;Dipsacus sp.;Karde
Dittrichia graveolens;(L.) Greuter;plant;Dittrichia graveolens (L.) Greuter;Klebriger Alant
Doronicum austriacum;Jacq.;plant;Doronicum austriacum Jacq.;Österreichische Gemswurz
Doronicum columnae;Ten.;plant;Doronicum columnae Ten.;Herzblättrige Gemswurz
Doronicum glaciale;(Wulfen) Nyman;plant;Doronicum glaciale (Wulfen) Nyman;Gletscher-Gemswurz
Doronicum grandiflorum;Lam.;plant;Doronicum grandiflorum Lam.;Großblütige Gemswurz
Doronicum pardalianches;L.;plant;Doronicum pardalianches L.;Kriechende Gemswurz
Doronicum;;plant;Doronicum sp.;Gemswurz
Dorycnium germanicum;(Gremli) Rikli;plant;Dorycnium germanicum (Gremli) Rikli;Deutscher Backenklee
Dorycnium herbaceum;Vill.;plant;Dorycnium herbaceum Vill.;Krautiger Backenklee
Dorycnium;;plant;Dorycnium sp.;Backenklee
Draba aizoides;L.;plant;Draba aizoides L.;Immergrünes Felsenblümchen
Draba dubia;Suter;plant;Draba dubia Suter;Eis-Felsenblümchen
Draba fladnizensis;Wulfen;plant;Draba fladnizensis Wulfen;Fladnitzer Felsenblümchen
Draba muralis;L.;plant;Draba muralis L.;Mauer-Felsenblümchen
Draba nemorosa;L.;plant;Draba nemorosa L.;Hain-Felsenblümchen
Draba sauteri;Hoppe;plant;Draba sauteri Hoppe;Sauters Felsenblümchen
Draba siliquosa;M. Bieb.;plant;Draba siliquosa M. Bieb.;Kärntner Felsenblümchen
Draba tomentosa;Clairv.;plant;Draba tomentosa Clairv.;Filziges Felsenblümchen
Draba;;plant;Draba sp.;Felsenblümchen
Dracocephalum ruyschiana;L.;plant;Dracocephalum ruyschiana L.;Nordischer Drachenkopf
Dracocephalum ruyschiana;L.;plant;Dracocephalum ruyschiana L.;Drachenkopf
Drosera intermedia;Hayne;plant;Drosera intermedia Hayne;Mittlerer Sonnentau
Drosera longifolia;L.;plant;Drosera longifolia L.;Langblättriger Sonnentau
Drosera rotundifolia;L.;plant;Drosera rotundifolia L.;Rundblättriger Sonnentau
Drosera;;plant;Drosera sp.;Sonnentau
Dryas octopetala;L.;plant;Dryas octopetala L.;Silberwurz
Dryopteris affinis;(Lowe) Fraser-Jenk.;plant;Dryopteris affinis (Lowe) Fraser-Jenk.;Spreuschuppiger Wurmfarn
Dryopteris carthusiana;(Vill.) H. P. Fuchs;plant;Dryopteris carthusiana (Vill.) H. P. Fuchs;Gewöhnlicher Dornfarn
Dryopteris cristata;(L.) A. Gray;plant;Dryopteris cristata (L.) A. Gray;Kammfarn
Dryopteris dilatata;(Hoffm.) A. Gray;plant;Dryopteris dilatata (Hoffm.) A. Gray;Breitblättriger Dornfarn
Dryopteris expansa;(C. Presl) Fraser-Jenk. & Jermy;plant;Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy;Feingliedriger Dornfarn
Dryopteris filix-mas;(L.) Schott;plant;Dryopteris filix-mas (L.) Schott;Gewöhnlicher Wurmfarn
Dryopteris oreades;Fomin;plant;Dryopteris oreades Fomin;Geröll-Wurmfarn
Dryopteris remota;(A. Braun ex Döll) Druce;plant;Dryopteris remota (A. Braun ex Döll) Druce;Entferntfiedriger Dornfarn
Dryopteris villarii;(Bellardi) Woyn. ex Thell. s. str.;plant;Dryopteris villarii (Bellardi) Woyn. ex Thell. s. str.;Starrer Wurmfarn
Dryopteris;;plant;Dryopteris sp.;Wurmfarn
Echinochloa crus-galli;(L.) P. Beauv.;plant;Echinochloa crus-galli (L.) P. Beauv.;Gewöhnliche Hühnerhirse
Echinochloa crus-galli;(L.) P. Beauv.;plant;Echinochloa crus-galli (L.) P. Beauv.;Hühnerhirse
Echinops banaticus;Rochel ex Schrader;plant;Echinops banaticus Rochel ex Schrader;Banater Kugeldistel
Echinops exaltatus;Schrad.;plant;Echinops exaltatus Schrad.;Drüsenlose Kugeldistel
Echinops sphaerocephalus;L.;plant;Echinops sphaerocephalus L.;Drüsenblättrige Kugeldistel
Echinops;;plant;Echinops sp.;Kugeldistel
Echium vulgare;L.;plant;Echium vulgare L.;Gewöhnlicher Natternkopf
Echium vulgare;L.;plant;Echium vulgare L.;Natternkopf
Elatine alsinastrum;L.;plant;Elatine alsinastrum L.;Quirl-Tännel
Elatine alsinastrum;L.;plant;Elatine alsinastrum L.;Quirltännel
Elatine hexandra;(Lapierre) DC.;plant;Elatine hexandra (Lapierre) DC.;Sechsmänniger Tännel
Elatine hydropiper;L.;plant;Elatine hydropiper L.;Wasserpfeffer-Tännel
Elatine triandra;Schkuhr;plant;Elatine triandra Schkuhr;Dreimänniger Tännel
Elatine;;plant;Elatine sp.;Tännel
Eleocharis acicularis;(L.) Roem. & Schult.;plant;Eleocharis acicularis (L.) Roem. & Schult.;Nadel-Sumpfbinse
Eleocharis austriaca;Hayek;plant;Eleocharis austriaca Hayek;Österreichische Sumpfbinse
Eleocharis mamillata;Lindb.f. s. str.;plant;Eleocharis mamillata Lindb.f. s. str.;Zitzen-Sumpfbinse
Eleocharis multicaulis;(Sm.) Desv.;plant;Eleocharis multicaulis (Sm.) Desv.;Vielstängelige Sumpfbinse
Eleocharis ovata;(Roth) Roem. & Schult.;plant;Eleocharis ovata (Roth) Roem. & Schult.;Eiförmige Sumpfbinse
Eleocharis palustris;(L.) Roem. & Schult.;plant;Eleocharis palustris (L.) Roem. & Schult.;Gewöhnliche Sumpfbinse
Eleocharis palustris subsp. palustris;(L.) Roem. & Schult.;plant;Eleocharis palustris subsp. palustris (L.) Roem. & Schult.;Kleinfrüchtige Gewöhnliche Sumpfbinse
Eleocharis palustris subsp. vulgaris;Walters;plant;Eleocharis palustris subsp. vulgaris Walters;Großfrüchtige Gewöhnliche Sumpfbinse
Eleocharis parvula;(Roem. & Schult.) Link ex Bluff, Nees & Schauer;plant;Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer;Zwerg-Sumpfbinse
Eleocharis quinqueflora;(Hartmann) O. Schwarz;plant;Eleocharis quinqueflora (Hartmann) O. Schwarz;Armblütige Sumpfbinse
Eleocharis uniglumis;(Link) Schult.;plant;Eleocharis uniglumis (Link) Schult.;Einspelzige Sumpfbinse
Eleocharis;;plant;Eleocharis sp.;Sumpfbinse
Elodea callitrichoides;(Rich.) Casp.;plant;Elodea callitrichoides (Rich.) Casp.;Argentinische Wasserpest
Elodea canadensis;Michx.;plant;Elodea canadensis Michx.;Kanadische Wasserpest
Elodea nuttallii;(Planch.) H. St. John;plant;Elodea nuttallii (Planch.) H. St. John;Schmalblättrige Wasserpest
Elodea;;plant;Elodea sp.;Wasserpest
Elymus arenosus;(Spenn.) Conert;plant;Elymus arenosus (Spenn.) Conert;Sand-Quecke
Elymus arenosus;(Spenn.) Conert;plant;Elymus arenosus (Spenn.) Conert;Sandquecke
Elymus athericus;(Link) Kerguélen;plant;Elymus athericus (Link) Kerguélen;Dünen-Quecke
Elymus athericus;(Link) Kerguélen;plant;Elymus athericus (Link) Kerguélen;Dünenquecke
Elymus caninus;(L.) L.;plant;Elymus caninus (L.) L.;Hunds-Quecke
Elymus caninus;(L.) L.;plant;Elymus caninus (L.) L.;Hundsquecke
Elymus farctus;(Viv.) Runemark ex Melderis;plant;Elymus farctus (Viv.) Runemark ex Melderis;Binsen-Quecke
Elymus hispidus;(Opiz) Melderis;plant;Elymus hispidus (Opiz) Melderis;Graugrüne Quecke
Elymus obtusiflorus;(DC.) Conert;plant;Elymus obtusiflorus (DC.) Conert;Stumpfblütige Quecke
Elymus repens;(L.) Gould s. str.;plant;Elymus repens (L.) Gould s. str.;Kriech-Quecke
Elymus repens;(L.) Gould s. str.;plant;Elymus repens (L.) Gould s. str.;Kriechquecke
Elymus;;plant;Elymus sp.;Quecke
Empetrum hermaphroditum;Hagerup;plant;Empetrum hermaphroditum Hagerup;Zwittrige Krähenbeere
Empetrum nigrum;L. s. str.;plant;Empetrum nigrum L. s. str.;Schwarze Krähenbeere
Empetrum nigrum;L.;plant;Empetrum nigrum L.;Krähenbeere
Epilobium alpestre;(Jacq.) Krock.;plant;Epilobium alpestre (Jacq.) Krock.;Quirlblättriges Weidenröschen
Epilobium alsinifolium;Vill.;plant;Epilobium alsinifolium Vill.;Mierenblättriges Weidenröschen
Epilobium anagallidifolium;Lam.;plant;Epilobium anagallidifolium Lam.;Gauchheilblättriges Weidenröschen
Epilobium angustifolium;L.;plant;Epilobium angustifolium L.;Schmalblättriges Weidenröschen
Epilobium ciliatum;Raf.;plant;Epilobium ciliatum Raf.;Drüsiges Weidenröschen
Epilobium collinum;C. C. Gmel.;plant;Epilobium collinum C. C. Gmel.;Hügel-Weidenröschen
Epilobium dodonaei;Vill.;plant;Epilobium dodonaei Vill.;Rosmarin-Weidenröschen
Epilobium fleischeri;Hochst.;plant;Epilobium fleischeri Hochst.;Kies-Weidenröschen
Epilobium hirsutum;L.;plant;Epilobium hirsutum L.;Zottiges Weidenröschen
Epilobium lanceolatum;Sebast. & Mauri;plant;Epilobium lanceolatum Sebast. & Mauri;Lanzettblättriges Weidenröschen
Epilobium montanum;L.;plant;Epilobium montanum L.;Berg-Weidenröschen
Epilobium montanum;L.;plant;Epilobium montanum L.;Bergweidenröschen
Epilobium nutans;F. W. Schmidt;plant;Epilobium nutans F. W. Schmidt;Nickendes Weidenröschen
Epilobium obscurum;Schreb.;plant;Epilobium obscurum Schreb.;Dunkelgrünes Weidenröschen
Epilobium palustre;L.;plant;Epilobium palustre L.;Sumpf-Weidenröschen
Epilobium palustre;L.;plant;Epilobium palustre L.;Sumpfweidenröschen
Epilobium parviflorum;Schreb.;plant;Epilobium parviflorum Schreb.;Kleinblütiges Weidenröschen
Epilobium roseum;Schreb.;plant;Epilobium roseum Schreb.;Rosenrotes Weidenröschen
Epilobium tetragonum;L. s. l.;plant;Epilobium tetragonum L. s. l.;Vierkantiges Weidenröschen
Epilobium tetragonum subsp. lamyi;(F. W. Schultz) Nyman;plant;Epilobium tetragonum subsp. lamyi (F. W. Schultz) Nyman;Graugrünes Weidenröschen
Epilobium tetragonum subsp. tetragonum;L.;plant;Epilobium tetragonum subsp. tetragonum L.;Gewöhnliches Vierkantiges Weidenröschen
Epilobium;;plant;Epilobium sp.;Weidenröschen
Epimedium alpinum;L.;plant;Epimedium alpinum L.;Alpen-Sockenblume
Epipactis albensis;Novakova & Rydlo;plant;Epipactis albensis Novakova & Rydlo;Elbe-Stendelwurz
Epipactis atrorubens;(Hoffm.) Besser;plant;Epipactis atrorubens (Hoffm.) Besser;Rotbraune Stendelwurz
Epipactis confusa;D. P. Young;plant;Epipactis confusa D. P. Young;Zierliche Stendelwurz
Epipactis helleborine;(L.) Crantz s. str.;plant;Epipactis helleborine (L.) Crantz agg.;Wald-Stendelwurz
Epipactis helleborine;(L.) Crantz s. str.;plant;Epipactis helleborine (L.) Crantz s. str.;Breitblättrige Stendelwurz
Epipactis leptochila;(Godfery) Godfery;plant;Epipactis leptochila (Godfery) Godfery;Schmallippige Stendelwurz
Epipactis microphylla;(Ehrh.) Sw.;plant;Epipactis microphylla (Ehrh.) Sw.;Kleinblättrige Stendelwurz
Epipactis muelleri;Godfery;plant;Epipactis muelleri Godfery;Müllers Stendelwurz
Epipactis palustris;(L.) Crantz;plant;Epipactis palustris (L.) Crantz;Sumpf-Stendelwurz
Epipactis purpurata;Sm.;plant;Epipactis purpurata Sm.;Violette Stendelwurz
Epipactis;;plant;Epipactis sp.;Stendelwurz
Epipogium aphyllum;Sw.;plant;Epipogium aphyllum Sw.;Blattloser Widerbart
Equisetum arvense;L.;plant;Equisetum arvense L.;Acker-Schachtelhalm
Equisetum arvense;L.;plant;Equisetum arvense L.;Ackerschachtelhalm
Equisetum fluviatile;L.;plant;Equisetum fluviatile L.;Teich-Schachtelhalm
Equisetum fluviatile;L.;plant;Equisetum fluviatile L.;Teichschachtelhalm
Equisetum hyemale;L.;plant;Equisetum hyemale L.;Winter-Schachtelhalm
Equisetum hyemale;L.;plant;Equisetum hyemale L.;Winterschachtelhalm
Equisetum palustre;L.;plant;Equisetum palustre L.;Sumpf-Schachtelhalm
Equisetum palustre;L.;plant;Equisetum palustre L.;Sumpfschachtelhalm
Equisetum pratense;Ehrh.;plant;Equisetum pratense Ehrh.;Wiesen-Schachtelhalm
Equisetum pratense;Ehrh.;plant;Equisetum pratense Ehrh.;Wiesenschachtelhalm
Equisetum ramosissimum;Desf.;plant;Equisetum ramosissimum Desf.;Ästiger Schachtelhalm
Equisetum sylvaticum;L.;plant;Equisetum sylvaticum L.;Wald-Schachtelhalm
Equisetum sylvaticum;L.;plant;Equisetum sylvaticum L.;Waldschachtelhalm
Equisetum telmateia;Ehrh.;plant;Equisetum telmateia Ehrh.;Riesen-Schachtelhalm
Equisetum telmateia;Ehrh.;plant;Equisetum telmateia Ehrh.;Riesenschachtelhalm
Equisetum variegatum;Schleich. ex Weber & D. Mohr;plant;Equisetum variegatum Schleich. ex Weber & D. Mohr;Bunter Schachtelhalm
Equisetum x litorale;Kühlew. ex Rupr.;plant;Equisetum x litorale Kühlew. ex Rupr.;Ufer-Schachtelhalm
Equisetum x litorale;Kühlew. ex Rupr.;plant;Equisetum x litorale Kühlew. ex Rupr.;Uferschachtelhalm
Equisetum x moorei;Newman;plant;Equisetum x moorei Newman;Moores Schachtelhalm
Equisetum x trachyodon;(A. Braun) W. D. J. Koch;plant;Equisetum x trachyodon (A. Braun) W. D. J. Koch;Rauzähniger Schachtelhalm
Equisetum;;plant;Equisetum sp.;Schachtelhalm
Equisetum;;plant;Equisetum sp.;Schachtelhalme
Eragrostis cilianensis;(All.) Vignolo ex Janch.;plant;Eragrostis cilianensis (All.) Vignolo ex Janch.;Großähriges Liebesgras
Eragrostis curvula;(Schrad.) Nees;plant;Eragrostis curvula (Schrad.) Nees;Schwachgekrümmtes Liebesgras
Eragrostis minor;Host;plant;Eragrostis minor Host;Kleines Liebesgras
Eragrostis multicaulis;Steud.;plant;Eragrostis multicaulis Steud.;Japanisches Liebesgras
Eragrostis pilosa;(L.) P. Beauv.;plant;Eragrostis pilosa (L.) P. Beauv.;Behaartes Liebesgras
Eragrostis;;plant;Eragrostis sp.;Liebesgras
Eranthis hyemalis;(L.) Salisb.;plant;Eranthis hyemalis (L.) Salisb.;Winterling
Erica carnea;L.;plant;Erica carnea L.;Schnee-Heide
Erica carnea;L.;plant;Erica carnea L.;Schneeheide
Erica cinerea;L.;plant;Erica cinerea L.;Graue Heide
Erica tetralix;L.;plant;Erica tetralix L.;Glocken-Heide
Erica tetralix;L.;plant;Erica tetralix L.;Glockenheide
Erica;;plant;Erica sp.;Heidekraut
Ericaceae;;plant;Ericaceae;Heidekraut
Erigeron acris;L.;plant;Erigeron acris L.;Scharfes Berufkraut
Erigeron acris subsp. acris;L.;plant;Erigeron acris subsp. acris L.;Gewöhnliches Scharfes Berufkraut
Erigeron acris subsp. angulosus;(Gaudin) Vacc.;plant;Erigeron acris subsp. angulosus (Gaudin) Vacc.;Schotter-Berufkraut
Erigeron alpinus;L.;plant;Erigeron alpinus L.;Alpen-Berufkraut
Erigeron annuus;(L.) Pers.;plant;Erigeron annuus (L.) Pers.;Einjähriger Feinstrahl
Erigeron annuus subsp. annuus;(L.) Pers.;plant;Erigeron annuus subsp. annuus (L.) Pers.;Gewöhnlicher Einjähriger Feinstrahl
Erigeron annuus subsp. septentrionalis;(Fernald & Wiegand) Wagenitz;plant;Erigeron annuus subsp. septentrionalis (Fernald & Wiegand) Wagenitz;Nordischer Einjähriger Feinstrahl
Erigeron annuus;(L.) Pers.;plant;Erigeron annuus (L.) Pers.;Feinstrahl
Erigeron atticus;Vill.;plant;Erigeron atticus Vill.;Drüsiges Berufkraut
Erigeron gaudinii;Brügger;plant;Erigeron gaudinii Brügger;Felsen-Berufkraut
Erigeron glabratus;Bluff & Fingerh.;plant;Erigeron glabratus Bluff & Fingerh.;Kahles Berufkraut
Erigeron neglectus;Kern.;plant;Erigeron neglectus Kern.;Verkanntes Berufkraut
Erigeron uniflorus;L.;plant;Erigeron uniflorus L.;Einköpfiges Berufkraut
Eriophorum angustifolium;Honck.;plant;Eriophorum angustifolium Honck.;Schmalblättriges Wollgras
Eriophorum gracile;W. D. J. Koch ex Roth;plant;Eriophorum gracile W. D. J. Koch ex Roth;Schlankes Wollgras
